"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Ожидается ошибка 401 при некорректных данных","455","Вход с неверным логином или паролем","","Sun Jun 15 16:30:14 MSK 2025","passed","Sun Jun 15 16:30:14 MSK 2025","","tests.UserTest","tests.UserTest","loginWithWrongCredentialsTest"
"Создание пользователя, затем логин и получение токена","6028","Успешный вход под существующим пользователем","","Sun Jun 15 16:30:07 MSK 2025","passed","Sun Jun 15 16:30:13 MSK 2025","","tests.UserTest","tests.UserTest","loginExistingUserTest"
"Ожидается успешная регистрация с получением accessToken","2269","Создание уникального пользователя","","Sun Jun 15 16:30:14 MSK 2025","passed","Sun Jun 15 16:30:16 MSK 2025","","tests.UserTest","tests.UserTest","createUniqueUserTest"
"Ожидается ошибка 403 при отсутствии email, пароля или имени","535","Создание пользователя без одного обязательного поля","","Sun Jun 15 16:30:13 MSK 2025","passed","Sun Jun 15 16:30:14 MSK 2025","","tests.UserTest","tests.UserTest","createUserWithoutRequiredFieldTest"
"Ожидается ошибка 403 при повторной регистрации того же пользователя","6970","Создание уже зарегистрированного пользователя","","Sun Jun 15 16:30:00 MSK 2025","passed","Sun Jun 15 16:30:07 MSK 2025","","tests.UserTest","tests.UserTest","createDuplicateUserTest"
